,log_E,Freq
0,32.91538331801839,-1.2998538894094105
1,32.70297676716365,-0.9988238937454293
2,32.67272328853804,-0.8227326346897481
3,32.61714525243155,-0.6977938980814482
4,32.500470724697806,-0.6008838850733917
5,32.32921825655037,-0.521702639025767
6,32.25051704606938,-0.4547558493951538
7,32.179193906377456,-0.39676390241746695
8,32.10903678985403,-0.34561137997008573
9,32.10589409911471,-0.29985388940941055
10,32.033728242689136,-0.2584612042511856
11,31.98761232241586,-0.22067264336178574
